Build tool,Group id,Artifact id,Version,Dependency group id,Dependency artifact id,Dependency version,Direct Dependency,Resolution failure
Gradle,org.springframework.samples,spring-petclinic,3.2.0,com.github.ben-manes.caffeine,caffeine,3.1.8,true,
Gradle,org.springframework.samples,spring-petclinic,3.2.0,org.checkerframework,checker-qual,3.37.0,false,
Gradle,org.springframework.samples,spring-petclinic,3.2.0,com.google.errorprone,error_prone_annotations,2.21.1,false,
Gradle,org.springframework.samples,spring-petclinic,3.2.0,org.springframework.boot,spring-boot-starter-actuator,3.2.0,true,
Gradle,org.springframework.samples,spring-petclinic,3.2.0,org.springframework.boot,spring-boot-starter,3.2.0,false,
Gradle,org.springframework.samples,spring-petclinic,3.2.0,org.springframework.boot,spring-boot-autoconfigure,3.2.0,false,
Gradle,org.springframework.samples,spring-petclinic,3.2.0,org.springframework.boot,spring-boot,3.2.0,false,
Gradle,org.springframework.samples,spring-petclinic,3.2.0,org.springframework,spring-context,6.1.1,false,
Gradle,org.springframework.samples,spring-petclinic,3.2.0,io.micrometer,micrometer-observation,1.12.0,false,
Gradle,org.springframework.samples,spring-petclinic,3.2.0,io.micrometer,micrometer-commons,1.12.0,false,
Gradle,org.springframework.samples,spring-petclinic,3.2.0,org.springframework,spring-aop,6.1.1,false,
Gradle,org.springframework.samples,spring-petclinic,3.2.0,org.springframework,spring-beans,6.1.1,false,
Gradle,org.springframework.samples,spring-petclinic,3.2.0,org.springframework,spring-core,6.1.1,false,
Gradle,org.springframework.samples,spring-petclinic,3.2.0,org.springframework,spring-jcl,6.1.1,false,
Gradle,org.springframework.samples,spring-petclinic,3.2.0,org.springframework,spring-expression,6.1.1,false,
Gradle,org.springframework.samples,spring-petclinic,3.2.0,org.springframework.boot,spring-boot-starter-logging,3.2.0,false,
Gradle,org.springframework.samples,spring-petclinic,3.2.0,ch.qos.logback,logback-classic,1.4.11,false,
Gradle,org.springframework.samples,spring-petclinic,3.2.0,org.slf4j,slf4j-api,2.0.9,false,
Gradle,org.springframework.samples,spring-petclinic,3.2.0,ch.qos.logback,logback-core,1.4.11,false,
Gradle,org.springframework.samples,spring-petclinic,3.2.0,org.apache.logging.log4j,log4j-to-slf4j,2.21.1,false,
