Library,Top-level package,Usage pattern,Common classes,Import count,Example usage
org.springframework.boot:spring-boot-autoconfigure:3.2.0,org.springframework.boot,,SpringBootApplication,1,
org.springframework.boot:spring-boot:3.2.0,org.springframework.boot,,SpringApplication,1,
org.springframework:spring-context:6.1.1,org.springframework,,ImportRuntimeHints,1,
org.springframework:spring-core:6.1.1,org.springframework,,"RuntimeHintsRegistrar, RuntimeHints",1,
jakarta.persistence:jakarta.persistence-api:3.1.0,jakarta.persistence,,"GenerationType, GeneratedValue, Id, MappedSuperclass",1,
jakarta.validation:jakarta.validation-api:3.0.2,jakarta.validation,,NotBlank,1,
org.springframework.data:spring-data-commons:3.2.0,org.springframework.data,,"PageRequest, Pageable, Page",1,
org.springframework:spring-web:6.1.1,org.springframework,,"RequestParam, PostMapping, GetMapping, WebDataBinder, PathVariable, InitBinder, ModelAttribute",1,
org.springframework:spring-webmvc:6.1.1,org.springframework,,"RedirectAttributes, ModelAndView",1,
org.springframework:spring-tx:6.1.1,org.springframework,,Transactional,1,
org.springframework.data:spring-data-jpa:3.2.0,org.springframework.data,,Query,1,
org.springframework:spring-beans:6.1.1,org.springframework,,Autowired,1,
javax.cache:cache-api:1.1.1,javax.cache,,"Configuration, MutableConfiguration, CacheManager",1,
jakarta.xml.bind:jakarta.xml.bind-api:4.0.1,jakarta.xml.bind,,XmlElement,1,
org.springframework:spring-test:6.1.1,org.springframework,,"DisabledInAotMode, ActiveProfiles",1,
org.testcontainers:mysql:1.19.3,org.testcontainers,,MySQLContainer,1,
org.junit.jupiter:junit-jupiter-api:5.10.1,org.junit.jupiter,,"DisabledInNativeImage, Test",1,
org.springframework.boot:spring-boot-test:3.2.0,org.springframework.boot,,"LocalServerPort, SpringBootTest.WebEnvironment, SpringBootTest",1,
org.springframework.boot:spring-boot-testcontainers:3.2.0,org.springframework.boot,,ServiceConnection,1,
org.testcontainers:junit-jupiter:1.19.3,org.testcontainers,,"Testcontainers, Container",1,
org.testcontainers:testcontainers:1.19.3,org.testcontainers,,DockerClientFactory,1,
org.springframework:spring-jcl:6.1.1,org.springframework,,"LogFactory, Log",1,
org.mockito:mockito-core:5.7.0,org.mockito,,Mockito,1,
org.springframework.boot:spring-boot-test-autoconfigure:3.2.0,org.springframework.boot,,WebMvcTest,1,
org.assertj:assertj-core:3.24.2,org.assertj,,Lists,1,
org.hamcrest:hamcrest:2.2,org.hamcrest,,"BaseMatcher, Description",1,
org.mockito:mockito-junit-jupiter:5.7.0,org.mockito,,MockitoExtension,1,
org.springframework:spring-orm:6.1.1,org.springframework,,ObjectRetrievalFailureException,1,
