Source path,Class name,Method name,Pattern type,Exception types,Handling strategy,Logging framework,Log level
src/main/java/org/springframework/samples/petclinic/owner/PetTypeFormatter.java,org.springframework.samples.petclinic.owner.PetTypeFormatter,parse,throws-declaration,ParseException,propagate,,
src/main/java/org/springframework/samples/petclinic/vet/VetRepository.java,org.springframework.samples.petclinic.vet.VetRepository,findAll,throws-declaration,DataAccessException,propagate,,
src/main/java/org/springframework/samples/petclinic/vet/VetRepository.java,org.springframework.samples.petclinic.vet.VetRepository,findAll,throws-declaration,DataAccessException,propagate,,
src/test/java/org/springframework/samples/petclinic/MySqlIntegrationTests.java,org.springframework.samples.petclinic.MySqlIntegrationTests,testFindAll,throws-declaration,Exception,propagate,,
src/test/java/org/springframework/samples/petclinic/PetClinicIntegrationTests.java,org.springframework.samples.petclinic.PetClinicIntegrationTests,testFindAll,throws-declaration,Exception,propagate,,
src/test/java/org/springframework/samples/petclinic/PostgresIntegrationTests.java,org.springframework.samples.petclinic.PostgresIntegrationTests,testFindAll,throws-declaration,Exception,propagate,,
src/test/java/org/springframework/samples/petclinic/owner/OwnerControllerTests.java,org.springframework.samples.petclinic.owner.OwnerControllerTests,testInitCreationForm,throws-declaration,Exception,propagate,,
src/test/java/org/springframework/samples/petclinic/owner/OwnerControllerTests.java,org.springframework.samples.petclinic.owner.OwnerControllerTests,testProcessCreationFormSuccess,throws-declaration,Exception,propagate,,
src/test/java/org/springframework/samples/petclinic/owner/OwnerControllerTests.java,org.springframework.samples.petclinic.owner.OwnerControllerTests,testProcessCreationFormHasErrors,throws-declaration,Exception,propagate,,
src/test/java/org/springframework/samples/petclinic/owner/OwnerControllerTests.java,org.springframework.samples.petclinic.owner.OwnerControllerTests,testInitFindForm,throws-declaration,Exception,propagate,,
src/test/java/org/springframework/samples/petclinic/owner/OwnerControllerTests.java,org.springframework.samples.petclinic.owner.OwnerControllerTests,testProcessFindFormSuccess,throws-declaration,Exception,propagate,,
src/test/java/org/springframework/samples/petclinic/owner/OwnerControllerTests.java,org.springframework.samples.petclinic.owner.OwnerControllerTests,testProcessFindFormByLastName,throws-declaration,Exception,propagate,,
src/test/java/org/springframework/samples/petclinic/owner/OwnerControllerTests.java,org.springframework.samples.petclinic.owner.OwnerControllerTests,testProcessFindFormNoOwnersFound,throws-declaration,Exception,propagate,,
src/test/java/org/springframework/samples/petclinic/owner/OwnerControllerTests.java,org.springframework.samples.petclinic.owner.OwnerControllerTests,testInitUpdateOwnerForm,throws-declaration,Exception,propagate,,
src/test/java/org/springframework/samples/petclinic/owner/OwnerControllerTests.java,org.springframework.samples.petclinic.owner.OwnerControllerTests,testProcessUpdateOwnerFormSuccess,throws-declaration,Exception,propagate,,
src/test/java/org/springframework/samples/petclinic/owner/OwnerControllerTests.java,org.springframework.samples.petclinic.owner.OwnerControllerTests,testProcessUpdateOwnerFormUnchangedSuccess,throws-declaration,Exception,propagate,,
src/test/java/org/springframework/samples/petclinic/owner/OwnerControllerTests.java,org.springframework.samples.petclinic.owner.OwnerControllerTests,testProcessUpdateOwnerFormHasErrors,throws-declaration,Exception,propagate,,
src/test/java/org/springframework/samples/petclinic/owner/OwnerControllerTests.java,org.springframework.samples.petclinic.owner.OwnerControllerTests,testShowOwner,throws-declaration,Exception,propagate,,
src/test/java/org/springframework/samples/petclinic/owner/PetControllerTests.java,org.springframework.samples.petclinic.owner.PetControllerTests,testInitCreationForm,throws-declaration,Exception,propagate,,
src/test/java/org/springframework/samples/petclinic/owner/PetControllerTests.java,org.springframework.samples.petclinic.owner.PetControllerTests,testProcessCreationFormSuccess,throws-declaration,Exception,propagate,,
src/test/java/org/springframework/samples/petclinic/owner/PetControllerTests.java,org.springframework.samples.petclinic.owner.PetControllerTests,testProcessCreationFormHasErrors,throws-declaration,Exception,propagate,,
src/test/java/org/springframework/samples/petclinic/owner/PetControllerTests.java,org.springframework.samples.petclinic.owner.PetControllerTests,testInitUpdateForm,throws-declaration,Exception,propagate,,
src/test/java/org/springframework/samples/petclinic/owner/PetControllerTests.java,org.springframework.samples.petclinic.owner.PetControllerTests,testProcessUpdateFormSuccess,throws-declaration,Exception,propagate,,
src/test/java/org/springframework/samples/petclinic/owner/PetControllerTests.java,org.springframework.samples.petclinic.owner.PetControllerTests,testProcessUpdateFormHasErrors,throws-declaration,Exception,propagate,,
src/test/java/org/springframework/samples/petclinic/owner/PetTypeFormatterTests.java,org.springframework.samples.petclinic.owner.PetTypeFormatterTests,shouldParse,throws-declaration,ParseException,propagate,,
src/test/java/org/springframework/samples/petclinic/owner/PetTypeFormatterTests.java,org.springframework.samples.petclinic.owner.PetTypeFormatterTests,shouldThrowParseException,throws-declaration,ParseException,propagate,,
src/test/java/org/springframework/samples/petclinic/owner/VisitControllerTests.java,org.springframework.samples.petclinic.owner.VisitControllerTests,testInitNewVisitForm,throws-declaration,Exception,propagate,,
src/test/java/org/springframework/samples/petclinic/owner/VisitControllerTests.java,org.springframework.samples.petclinic.owner.VisitControllerTests,testProcessNewVisitFormSuccess,throws-declaration,Exception,propagate,,
src/test/java/org/springframework/samples/petclinic/owner/VisitControllerTests.java,org.springframework.samples.petclinic.owner.VisitControllerTests,testProcessNewVisitFormHasErrors,throws-declaration,Exception,propagate,,
src/test/java/org/springframework/samples/petclinic/service/ClinicServiceTests.java,org.springframework.samples.petclinic.service.ClinicServiceTests,shouldUpdatePetName,throws-declaration,Exception,propagate,,
src/test/java/org/springframework/samples/petclinic/service/ClinicServiceTests.java,org.springframework.samples.petclinic.service.ClinicServiceTests,shouldFindVisitsByPetId,throws-declaration,Exception,propagate,,
src/test/java/org/springframework/samples/petclinic/service/EntityUtils.java,org.springframework.samples.petclinic.service.EntityUtils,getById,throws-declaration,ObjectRetrievalFailureException,propagate,,
src/test/java/org/springframework/samples/petclinic/system/CrashControllerTests.java,org.springframework.samples.petclinic.system.CrashControllerTests,testTriggerException,throws-declaration,Exception,propagate,,
src/test/java/org/springframework/samples/petclinic/vet/VetControllerTests.java,org.springframework.samples.petclinic.vet.VetControllerTests,testShowVetListHtml,throws-declaration,Exception,propagate,,
src/test/java/org/springframework/samples/petclinic/vet/VetControllerTests.java,org.springframework.samples.petclinic.vet.VetControllerTests,testShowResourcesVetList,throws-declaration,Exception,propagate,,
