Entity ID,Source path,Service class,Method name,HTTP method,Path,Produces,Consumes,Framework,Method signature
endpoint:org.springframework.samples.petclinic.owner.OwnerController#initCreationForm(Map),src/main/java/org/springframework/samples/petclinic/owner/OwnerController.java,org.springframework.samples.petclinic.owner.OwnerController,initCreationForm,GET,/owners/new,,,Spring,"org.springframework.samples.petclinic.owner.OwnerController{name=initCreationForm,return=java.lang.String,parameters=[java.util.Map<java.lang.String, java.lang.Object>]}"
"endpoint:org.springframework.samples.petclinic.owner.OwnerController#processCreationForm(Owner,BindingResult,RedirectAttributes)",src/main/java/org/springframework/samples/petclinic/owner/OwnerController.java,org.springframework.samples.petclinic.owner.OwnerController,processCreationForm,POST,/owners/new,,,Spring,"org.springframework.samples.petclinic.owner.OwnerController{name=processCreationForm,return=java.lang.String,parameters=[org.springframework.samples.petclinic.owner.Owner,org.springframework.validation.BindingResult,org.springframework.web.servlet.mvc.support.RedirectAttributes]}"
endpoint:org.springframework.samples.petclinic.owner.OwnerController#initFindForm(),src/main/java/org/springframework/samples/petclinic/owner/OwnerController.java,org.springframework.samples.petclinic.owner.OwnerController,initFindForm,GET,/owners/find,,,Spring,"org.springframework.samples.petclinic.owner.OwnerController{name=initFindForm,return=java.lang.String,parameters=[]}"
"endpoint:org.springframework.samples.petclinic.owner.OwnerController#processFindForm(int,Owner,BindingResult,Model)",src/main/java/org/springframework/samples/petclinic/owner/OwnerController.java,org.springframework.samples.petclinic.owner.OwnerController,processFindForm,GET,/owners,,,Spring,"org.springframework.samples.petclinic.owner.OwnerController{name=processFindForm,return=java.lang.String,parameters=[int,org.springframework.samples.petclinic.owner.Owner,org.springframework.validation.BindingResult,org.springframework.ui.Model]}"
"endpoint:org.springframework.samples.petclinic.owner.OwnerController#initUpdateOwnerForm(int,Model)",src/main/java/org/springframework/samples/petclinic/owner/OwnerController.java,org.springframework.samples.petclinic.owner.OwnerController,initUpdateOwnerForm,GET,/owners/{ownerId}/edit,,,Spring,"org.springframework.samples.petclinic.owner.OwnerController{name=initUpdateOwnerForm,return=java.lang.String,parameters=[int,org.springframework.ui.Model]}"
"endpoint:org.springframework.samples.petclinic.owner.OwnerController#processUpdateOwnerForm(Owner,BindingResult,int,RedirectAttributes)",src/main/java/org/springframework/samples/petclinic/owner/OwnerController.java,org.springframework.samples.petclinic.owner.OwnerController,processUpdateOwnerForm,POST,/owners/{ownerId}/edit,,,Spring,"org.springframework.samples.petclinic.owner.OwnerController{name=processUpdateOwnerForm,return=java.lang.String,parameters=[org.springframework.samples.petclinic.owner.Owner,org.springframework.validation.BindingResult,int,org.springframework.web.servlet.mvc.support.RedirectAttributes]}"
endpoint:org.springframework.samples.petclinic.owner.OwnerController#showOwner(int),src/main/java/org/springframework/samples/petclinic/owner/OwnerController.java,org.springframework.samples.petclinic.owner.OwnerController,showOwner,GET,/owners/{ownerId},,,Spring,"org.springframework.samples.petclinic.owner.OwnerController{name=showOwner,return=org.springframework.web.servlet.ModelAndView,parameters=[int]}"
"endpoint:org.springframework.samples.petclinic.owner.PetController#initCreationForm(Owner,ModelMap)",src/main/java/org/springframework/samples/petclinic/owner/PetController.java,org.springframework.samples.petclinic.owner.PetController,initCreationForm,GET,/owners/{ownerId}/pets/new,,,Spring,"org.springframework.samples.petclinic.owner.PetController{name=initCreationForm,return=java.lang.String,parameters=[org.springframework.samples.petclinic.owner.Owner,org.springframework.ui.ModelMap]}"
"endpoint:org.springframework.samples.petclinic.owner.PetController#processCreationForm(Owner,Pet,BindingResult,ModelMap,RedirectAttributes)",src/main/java/org/springframework/samples/petclinic/owner/PetController.java,org.springframework.samples.petclinic.owner.PetController,processCreationForm,POST,/owners/{ownerId}/pets/new,,,Spring,"org.springframework.samples.petclinic.owner.PetController{name=processCreationForm,return=java.lang.String,parameters=[org.springframework.samples.petclinic.owner.Owner,org.springframework.samples.petclinic.owner.Pet,org.springframework.validation.BindingResult,org.springframework.ui.ModelMap,org.springframework.web.servlet.mvc.support.RedirectAttributes]}"
"endpoint:org.springframework.samples.petclinic.owner.PetController#initUpdateForm(Owner,int,ModelMap,RedirectAttributes)",src/main/java/org/springframework/samples/petclinic/owner/PetController.java,org.springframework.samples.petclinic.owner.PetController,initUpdateForm,GET,/owners/{ownerId}/pets/{petId}/edit,,,Spring,"org.springframework.samples.petclinic.owner.PetController{name=initUpdateForm,return=java.lang.String,parameters=[org.springframework.samples.petclinic.owner.Owner,int,org.springframework.ui.ModelMap,org.springframework.web.servlet.mvc.support.RedirectAttributes]}"
"endpoint:org.springframework.samples.petclinic.owner.PetController#processUpdateForm(Pet,BindingResult,Owner,ModelMap,RedirectAttributes)",src/main/java/org/springframework/samples/petclinic/owner/PetController.java,org.springframework.samples.petclinic.owner.PetController,processUpdateForm,POST,/owners/{ownerId}/pets/{petId}/edit,,,Spring,"org.springframework.samples.petclinic.owner.PetController{name=processUpdateForm,return=java.lang.String,parameters=[org.springframework.samples.petclinic.owner.Pet,org.springframework.validation.BindingResult,org.springframework.samples.petclinic.owner.Owner,org.springframework.ui.ModelMap,org.springframework.web.servlet.mvc.support.RedirectAttributes]}"
endpoint:org.springframework.samples.petclinic.owner.VisitController#initNewVisitForm(),src/main/java/org/springframework/samples/petclinic/owner/VisitController.java,org.springframework.samples.petclinic.owner.VisitController,initNewVisitForm,GET,/owners/{ownerId}/pets/{petId}/visits/new,,,Spring,"org.springframework.samples.petclinic.owner.VisitController{name=initNewVisitForm,return=java.lang.String,parameters=[]}"
"endpoint:org.springframework.samples.petclinic.owner.VisitController#processNewVisitForm(Owner,int,Visit,BindingResult,RedirectAttributes)",src/main/java/org/springframework/samples/petclinic/owner/VisitController.java,org.springframework.samples.petclinic.owner.VisitController,processNewVisitForm,POST,/owners/{ownerId}/pets/{petId}/visits/new,,,Spring,"org.springframework.samples.petclinic.owner.VisitController{name=processNewVisitForm,return=java.lang.String,parameters=[org.springframework.samples.petclinic.owner.Owner,int,org.springframework.samples.petclinic.owner.Visit,org.springframework.validation.BindingResult,org.springframework.web.servlet.mvc.support.RedirectAttributes]}"
endpoint:org.springframework.samples.petclinic.system.CrashController#triggerException(),src/main/java/org/springframework/samples/petclinic/system/CrashController.java,org.springframework.samples.petclinic.system.CrashController,triggerException,GET,/oups,,,Spring,"org.springframework.samples.petclinic.system.CrashController{name=triggerException,return=java.lang.String,parameters=[]}"
endpoint:org.springframework.samples.petclinic.system.WelcomeController#welcome(),src/main/java/org/springframework/samples/petclinic/system/WelcomeController.java,org.springframework.samples.petclinic.system.WelcomeController,welcome,GET,/,,,Spring,"org.springframework.samples.petclinic.system.WelcomeController{name=welcome,return=java.lang.String,parameters=[]}"
"endpoint:org.springframework.samples.petclinic.vet.VetController#showVetList(int,Model)",src/main/java/org/springframework/samples/petclinic/vet/VetController.java,org.springframework.samples.petclinic.vet.VetController,showVetList,GET,/vets.html,,,Spring,"org.springframework.samples.petclinic.vet.VetController{name=showVetList,return=java.lang.String,parameters=[int,org.springframework.ui.Model]}"
endpoint:org.springframework.samples.petclinic.vet.VetController#showResourcesVetList(),src/main/java/org/springframework/samples/petclinic/vet/VetController.java,org.springframework.samples.petclinic.vet.VetController,showResourcesVetList,GET,/,,,Spring,"org.springframework.samples.petclinic.vet.VetController{name=showResourcesVetList,return=org.springframework.samples.petclinic.vet.Vets,parameters=[]}"
